Momento de abertura da valvula, valvula(s)
2023-03-06 18:11:33,SV_WingValve_1_Position
2023-03-09 13:52:12,SV_WingValve_1_Position
2023-03-11 08:16:24,SV_PIGCrossoverValve_Position
2023-03-11 08:16:33,SV_WingValve_2_Position
2023-03-11 08:16:33,SV_CrossoverValve_Position
2023-03-11 08:16:33,SV_WingValve_1_Position
2023-03-11 08:17:38,SV_AnnulusInterventionValve_12_MasterValve2_Position
2023-03-12 12:25:53,SV_WingValve_2_Position
2023-03-12 12:25:53,SV_CrossoverValve_Position
2023-03-12 12:25:53,SV_PIGCrossoverValve_Position
2023-03-12 12:25:53,SV_WingValve_1_Position
2023-03-12 12:26:58,SV_AnnulusInterventionValve_12_MasterValve2_Position
2023-03-17 03:15:10,SV_DownholeSafetyValve_1_Position
2023-03-17 03:15:18,SV_DownholeSafetyValve_2_Position
2023-03-17 10:34:34,SV_WingValve_2_Position
2023-03-17 10:34:34,SV_CrossoverValve_Position
2023-03-17 10:34:34,SV_PIGCrossoverValve_Position
2023-03-17 10:34:34,SV_WingValve_1_Position
2023-03-17 10:35:39,SV_AnnulusInterventionValve_12_MasterValve2_Position
2023-03-21 13:26:51,SV_WingValve_2_Position
2023-03-21 13:26:51,SV_CrossoverValve_Position
2023-03-21 13:26:51,SV_PIGCrossoverValve_Position
2023-03-21 13:26:51,SV_WingValve_1_Position
2023-03-21 13:28:02,SV_AnnulusInterventionValve_12_MasterValve2_Position
2023-03-21 13:36:57,SV_WingValve_2_Position
2023-03-21 13:36:57,SV_CrossoverValve_Position
2023-03-21 13:36:57,SV_PIGCrossoverValve_Position
2023-03-21 13:36:57,SV_WingValve_1_Position
2023-03-21 13:37:59,SV_AnnulusInterventionValve_12_MasterValve2_Position
2023-03-24 11:48:51,SV_CrossoverValve_Position
2023-03-24 11:48:51,SV_PIGCrossoverValve_Position
2023-03-24 11:48:51,SV_WingValve_1_Position
2023-03-24 11:48:57,SV_WingValve_2_Position
2023-03-24 11:49:54,SV_AnnulusInterventionValve_12_MasterValve2_Position
2023-03-26 02:58:27,SV_WingValve_1_Position
2023-03-26 08:46:19,SV_WingValve_1_Position
2023-03-26 12:42:44,SV_WingValve_1_Position
2023-03-26 16:33:43,SV_WingValve_1_Position
2023-03-27 00:03:35,SV_WingValve_1_Position
2023-03-27 06:36:35,SV_WingValve_1_Position
2023-03-27 14:39:59,SV_WingValve_1_Position
2023-03-27 21:47:08,SV_WingValve_1_Position
2023-03-28 01:05:46,SV_WingValve_1_Position
